coment,manifest_atendimento
Este havia sido o segundo chamado para atender o mesmo problema. Continuo com o problema Não foi resolvido. O atendente sumiu e pelo visto fechou chamado mais uma vez. Se a Empresa paga por chamado precisamos fazer um expurgo de pelo menos 2 chamados. Se a empresa paga por quantidade de impressões precisamos descontar todas que sairam desta impressora nos ultimos 3 meses. Continuo solicitando um atendimento que resolva o defito da impressora ou troque o equipamento. Mais uma vez a empresa tem um contrato com a HP que preve impressoras funcionando. ,reclamação
O tempo para resolução do chamado foi muito longo.,reclamação
"Continua aparecendo os clientes e de acordo com o técnico, eles serão corrigidos na nova versão do Ilab.",neutro
O apoio foi bem sucedido,elogio
O tempo de espera pra repor as peças defeituosas foi muito grande.,reclamação
Trabalho realizado superiou as expectativas. Parabéns à equipe do InfoSCADA!,elogio
Houve demora no atendimento ao chamado,neutro
Parabenizamos pelo pronto atendimento.,elogio
Gostaria de elogiar a postura e disposição da atendente  na busca de solução para s solução do problema.,elogio
"O atendente não foi claro ao telefone para explicar o procedimento para atendimento do solicitado neste registro:      Qual gerente de Negócio o atendente se refere ?  Seria gerente de Ativo ? gerente setorial ?  Gerente de que nível ?  eu questionei se poderia ser o  o meu gerente e o atendente disse que sim, mas a indicação ""gerente de Negócio""  deixa em dúvida .     As informações do atendenete sobre o catálogo de atendimento PB-PRAPO-0023 me parece irrelevante, porque não faço a mínima idéia do que é isso.    O atendente informa sobre a necessidade de envio de uma planilha com dados para migração/criação/modificação em massa   Migração do BDI , eu questionei sobre um modelo de planilha e a reposta foi que não existe.     ",reclamação
"No momento, tudo funcionando adequadamente",neutro
Gostaria de registrar meu agradecimento e reconhecimento a qualidade do atendimento do atendente Ezequiel. Parabéns!,elogio
"pROCESSO LONGO, MAS ATENDEU.",neutro
"O atendimento demorou a ser realizado, mesmo constando o prazo que deveria estar disponivel em produção, ocasionando assim emissão de faturas incorretas e retrabalho para as áreas de negócio.",reclamação
"Insatisfação total ao atendimento. O registro foi aberto no dia 10/03/15 a até a data de hoje (18/03/15) não foi concluído. Sem retorno da equipe técnica para informação do atendimento. Liguei várias vezes para informações e sem sucesso. No dia 16/03 ao término do expediente que o técnico local Douglas conseguiu colocar a linha de volta, pois pelo atendimento da Central sem retorno algum. O atendimento foi designado para a técnica Glauzilene que não fez nenhum contato sobre o atendimento. Até o momento o serviço não foi concluído com sucesso, pois o extensor apagou e o grupo de captura. Esse mal atendimento nos trouxe um transtorno imenso para esta gerência. Pois, estamos com um número grande de ligações e eu como secretária da gerência impossibilitada a realizar e receber ligações.",reclamação
O atendimento foi feito de maneira muito competente e ágil. A resolução do problema foi rápido e dentro do prazo estabelecido. A clareza dos esclarecimentos feitos pelas atendentes superaram as expectativas. Estão de parabéns.,elogio
falta dados mas não foi culpa do TIC,neutro
muito obrigada...,elogio
Não consigo abrir o arquivamento. Antes de abrir o chamado o Lotus notes funcionava melhor que agora.,reclamação
"Excelente atendimento. O colaborador demonstrou muita paciência e persistência para resolver o problema, com a cordialidade de sempre !!!",elogio
Obrigado pelo empenho para resolver esse problema.,elogio
Somente uma parte do chamado foi resolvida.,reclamação
"Atendimento péssimo ! Houve uma dúvida por parte do executor e este não retornou para esclarecer, limitando-se a eliminar sumariamente o pedido. Sou gerente e continuo sem acesso à pasta multimedia da minha gerência, o que já é um absurdo. ",reclamação
Sim ,neutro
"Ótimo atendimento, rápido e eficiente.",elogio
"O atendente foi muito prestativo, obrigado",elogio
Muito bom,elogio
Obrigada!,elogio
Muito bom.,neutro
"Esse chamado substitui o 0022294613, criado em 02/03/2015 e classificado como telefonia IP.",neutro
ATENDEU PRONTAMENTE E RESOLVEU.,elogio
"Rodrigo, fez um excelente atendimento. Quero parabeniza-lo pela proatividade na resolução do problema.",elogio
"Foi providenciado um equipamento provisório, enquanto o equipamento original estava sendo substituído. O serviço foi bastante rápido e o técnico Jorge Luiz Costa (chave A549) é muito capaz e atencioso, superando minhas expectativas. Parabéns! ",neutro
Atendeu em tempo habil,elogio
"Foi encerrado o registro com o Status ""Resolvido"", porém não foi realizado minha solicitação onde na realidade fui informada o procedimento a ser tomado para eu conseguir ser atendida no que foi solicitado.    ATENÇÃO: A categorização informada no registro junto com o Status utilizado deixa a entender que fui atendida no que foi solicitado.      ",reclamação
"Excelente, trabalho",elogio
"O fluxo de comunicação no chamado não fluiu bem, as informações de trabalho não são lidas pelos atendentes.    O primeiro atendimento informou a impossibilidade de atendimento remoto por se tratar de máquina virtual. Porém o segundo atendimento, conseguiu realizar o atendimento remoto.",reclamação
"Foi muito bem atendia, o profissional empenhado em resolver o problema.",elogio
A necessidade era urgente e só foi concluída 5 dias depois.,reclamação
"Os pré-testes do apoio local não estão sendo realizados, com isso quando a pessoa chega no local a video não está logada, atrasando a nossa participação nas reuniões, já foi comunicado a TIC local, mas não foi resolvido o problema, continua acontecendo.",reclamação
Problema resolvido com rapidez e eficiência,elogio
Atendimento realizado com presteza. Muito bom.,elogio
"O Firefox melhorou, más ainda está lento para carregar a área pessoal.",neutro
Excelente postura técnica do responsavel pela solução do problema apresentado.,elogio
"Somente houve uma dissintona quanto à vinda do colaborador da TIC para o atendimento, devido necessidade de programação, mas o problema foi resolvido satisfatoriamente hoje, dia 18 de março de 2015.",neutro
"Solicitei apoio ao ALED por se tratar do Iphone do meu Gerente Geral, o chamado foi aberto dia 16/Mar, aproximadamente 30 minutos depois o apoiador ligou, pedi que ele viesse após às 10:00 e nesse dia ninguém apareceu. No dia seguinte dia 17 a mesma coisa, o apoiador ligou pela manhã perguntando se o problema persistia e a resposta foi sim e ele disse que estava subindo e também não apareceu, até que liguei novamente no 881 e para o ALED para saber o que estava acontecendo e somente depois disso um apoiador veio fazer o atendimento. Muito insatisfeita por se tratar de algo relativamente simples já que o apoiador resolveu em menos de 5 minutos.",reclamação
O Sr. Wendell do apoio local foi bastante profissional e cordial. ,elogio
"Fui atentida pela técnico Robson, e como sempre, o mesmo se mostrou eficiente e atencioso. ",elogio
"Atendente do apoio local muito simpática, atenciosa e competente. ",elogio
"O chamado foi atendido porém,por questões alheias à TIC, o software ainda não pode ser instalado.",neutro
O atendimento foi excelente,elogio
O profissional demonstrou excelente conhecimento técnico.,elogio
"Chave já estava ativa no CadUnix, mas não foi inserida no grupo conforme solicitado.",reclamação
Muito BOM,elogio
Atendente prestativo e atencioso.,elogio
"A equipe e simplismente atuante e dinamica, EXELENTE...",elogio
Atendimento rápido e eficiente.,elogio
"O micro melhorou a lentidão, mas não ficou bom ainda. ",neutro
Obrigado pelo atendimento,elogio
Atendimento rapido!!!,elogio
A execução do problema foi muito bem assistida e solucionada pelos colaboradores,elogio
Ótimo atendimento. Muito eficiente.,elogio
Excelente atendimento,elogio
A solução demorou.,reclamação
ÓTIMO ATENDIMENTO,elogio
prontamente atendido,neutro
"O pedido não é para impressora individual, é a impressora do PARQUE GRÁFICO que atende a Unidade da Comunicação/AAR/RNE, que deveria ser, periodicamente, verificado pela empresa de manutenção e assim prevenir que o bloco de tinta viesse a faltar.",neutro
"Recebemos contato na véspera da videoconferência para confirmar os dados (local data e horário). No dia e local indicados, não recebemos apoio da TIC. Uma colega que já havia utilizado o recurso fez a conecção e deu orientação básica da utilização do recurso.",reclamação
"RESOLVIDOS TODOS COM ACESSO, OBRIGADO PELO APOIO....",elogio
Atendimento rápido e eficiente,elogio
Fiquei muito satisfeito com o atendimento da atendente. Como não estou acostumado este padrão registro meu elogio.,elogio
Conforme informado pelo cliente o INC foi fechado sem o devido atendimento. Solicito por gentileza reabrir para que o mesmo receba o cartão de notebook.,reclamação
"Os contatos da lista do Notes foram recuperados, porém os contatos do aparelho móvel foram apagados.",reclamação
pronto atendimento,neutro
Excelente atendimento.,elogio
Qdo desejada não atendida.,reclamação
Foi atenddido dentro do prazo estipulado.,elogio
Excelente atendimento,elogio
São extremamente atenciosos. Muito obrigado.,elogio
Aguardando ainda aprovação.,neutro
grato pela presteza,elogio
O problema retornou na manhã do dia seguinte,reclamação
"A chamada telefonica demora bastante, mas depois de aberto o chamado o problema foi logo resolvido",neutro
"Boa noite! Sempre que é feito um chamado para resolver questões relacionadas ao setor, as respostas estão sendo imediatas.",neutro
Ótimo atendimento.,elogio
"No dia de ontem (17/03), percebi que meu ramal havia sido trocado por motivo desconhecido. O problema foi resolvido logo no dia seguinte por volta de 8:30h. ",neutro
Muito bom!,elogio
"Muito bom atendimento, rapido e eficiente, muito obrigado.  ",elogio
ÓTIMO ATENDIMENTO,elogio
"Este atendimento foi o retorno de uma pesquisa na qual respondi que não fui atendida. Após 30 min ao telefone, novamente não fui atendia. ",reclamação
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
Instruções foram dadas para ação pelo próprio Gerente da unidade no ambiente SAP. Ação concluída com êxito.,elogio
Obrigado por realizar o contato antes do encerramento do chamado. A funcionalidade foi testada e está funcionando agora. Obrigado,elogio
A solicitação foi abortada.,neutro
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
"A solução foi muito lenta, fiquei o dia inteiro sem rede (notes e Intranet) ligaram 12:15 recebi no dia 18/3/2015 pelo notes afinal antes não tinha acesso.  Acho que o atendimento deveria ser o mesmo em todos os órgãos da empresa, sempre responderei a pesquisa com sinceridade.  Não gostei do atendimento.",reclamação
Continua indisponível hoje,reclamação
A impressora da sala do Gerente Geral continua sem o cartucho azul. Não entendo o motivo de terem fechado o chamado. Solicito a abertura dele e a realização da reposição imediatamente pois o GG estão há uma semana sem poder imprimir e isso é inaceitável,reclamação
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
"parabéns, fui atendido com pontualidade,com qualidade na mão de obra executada",elogio
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
"O erro não é mais apresentado, no entanto, o computador ainda está muito lento e trava por alguns instantes quando abre o portal PETROBRAS, até que seja dado algum tratamento (automático) ao SCRIPT.",neutro
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
Ótimo atendimento.,elogio
PARABENS,elogio
Execelente atendimento.,elogio
Parabéns pela iniciativa em corrigir o problema da impressão.,elogio
Paulo sempre é muito prestativo e rápido no atendimento.,elogio
parabens,elogio
"DIP não atendido e atendimento ruim, sem solução",reclamação
Bom atendimento,elogio
Nada a declarar,neutro
ÓTIMO ATENDIMENTO,elogio
"No correio enviado pelo TIC, foi informado que o acesso ao Lotus Notes estava dado e não está.",reclamação
"Atendente  é eficaz, parabens",elogio
"EXCELENTE ATENDIMENTO, RÁPIDO E EFICAZ.",elogio
APESAR DO CHAMADO NÃO TER SIDO RESOLVIDO O ATENDENTE ME PASSOU TODAS AS INFORMAÇÕES NECESSARIAS PARA A RESOLUÇÃO DO MEU PROBLEMA,neutro
não foi colocado no busca o ramal novo.812-3582,neutro
Ótimno atendimento. Obrigado e parabens.,elogio
A forma de comunicação poderia ser mais amistosa.,neutro
"A descrição do problema no SIGA foi que ao fazer o registro de um RTA, o campo obrigatório ""Identificação Detalhada"" deve ser preenchido com uma das palavras chaves disponíveis neste campo. Porém ao clicar no botão deste campo, a janela para a escolha das palavras chaves se encontra em branco impossibilitando a conclusão do registro do RTA. Fui orientado a fazer uma solicitação para os administradores do SIGA, porém estes informam que este problema é da TIC. Ainda sem solução.",reclamação
"Depois da instalação o profissional do 881 (que foi cordial e prestativo no serviço) informou que eu teria que ir atrás da licença do software. Ora, eu sou usuário, não sou da área de informática e eu tenho que saber onde está a licença do software?",reclamação
Um ótimo atendimento,elogio
Atendimento ótimo e esclarecimento de todaS AS DÚVIDAS.,elogio
"Independentemente do resultado, a cordialidade é sempre essencial para o atendimento. Parabéns ao Leandro que foi eficaz e cordial.",elogio
Atendimento nota 10! Parabéns!,elogio
"Independentemente do resultado, a cordialidade é sempre essencial para o atendimento. Parabéns ao Leandro que foi eficaz e cordial.",elogio
O problema continua no Lotus Notes e não consigo abrir o arquivamento.,reclamação
"Atendente muito cordial e atencioso, ótimo atendimento.",elogio
Excelente e o tempo de atendimento foi muito rápido desde a abertura do chamado. Obrigado.,elogio
PARABENS,elogio
Muito bom.,elogio
O Profissional destacado para o atendimento foi solícito ao oferecer uma manutenção no micro após perceber que funcionava com lentidão. Profissional de iniciativa e preocupado com o bom desempenho dos ativos de suporte.,elogio
Superou as minhas espectativas,elogio
"Fui muito bem atendido, ótimo trabalho.",elogio
Já foi feito?!,neutro
MUITO SATISFEITO,elogio
TOTAL SATISFAÇÃO ,elogio
muito satisfeito,elogio
MUITO SATISFEITO,elogio
Atendimento rápido e eficiente.,elogio
muito satisfeito,elogio
Ainda não consigo acessar o RTP.,reclamação
MUITO SATISFEITO,elogio
100%. parabéns,elogio
Atendimento muito educado e resolvido rápidamente,elogio
muito satisfeita,elogio
Excelente,elogio
Foi solicitado atendimento presencial,reclamação
SERVIÇO EXCELENTE.,elogio
"Grande atendimento, muito bom.",elogio
Atendente altamente capacitado e paciente na resolução do problema.,elogio
Gostei muito do atendimento.,elogio
Excelente atendimento!,elogio
Ainda depende da operadora Vivo.,neutro
Atendentes sem preparo técnico (novamente). Inacreditável a ineficiência da Petrobras para soluções tão simples quanto um sistema de IR que qualquer brasileiro baixa na internet.,reclamação
Atendido dentro dos padrões estabelecidos. Excelente.,elogio
Bem atendido,elogio
Serviço concluído.,elogio
foi aberto chamado p/ outro nivel de atendimento.,neutro
atendimento rápido e preciso,elogio
Serviço atendido com sucesso.,elogio
Aplicativo exigido para serviço avançado não era compatível com modelo do aparelho.,neutro
Rápido e eficiente.,elogio
Prontamente atendido. Obrigado pela atenção.,elogio
Atendente muito educada. Excelente.,elogio
Aproveito para agradecer a toda equipe TIC pelo excelente atendimento com qualidade e rapidez.,elogio
FELICIDADES,neutro
"Excelente trabalho de toda equipe, do atendente ou perito do suporte da TIC. Todo trabalho realizado em um intervalo de tempo muito bom e sem gerar transtorno emocional para nós clientes, se esse for o novo sistema de trabalho, meus parabéns, vocês estão muito bom e agradeço a todos, muito obrigado!",elogio
O atendimento foi realizado com muita eficiência e rapidez ,elogio
Atendente alega que software está restrito à outras área da Petrobras que não a nossa!,reclamação
não existe solução,neutro
Há 13 dias tenho feito constantes solicitações para correção de problema de indisponibilidade de ramal telefonico e rede. Não obtive nestes dias todos nenhum retorno e nenhum tratamento o que afetaram minhas rotinas de trabalho. Hoje oportunamente encontrei um tecnico na recepção do 6º que veio para atender outro problema e me auxiliou fazendo uma reversão do meu ponto por um outro reserva. Portanto gostaria que este relato possa auxiliar a uma melhoria do processo tanto de atendimento em prazos menores quanto de retorno ao cliente final de forma clara ele possa tomar medidas de contingencia.,reclamação
"Eu resolvi , apesar do apoio imediato da equipe!  Que prontamente veio me atender!",neutro
Muito obrigado pela pronta resposta e resolução do problema!,elogio
Muito eficiente o atendimento,elogio
"Resolvido o problema da caixa de entrada, fui informado que o arquivamento deve ser tratado com a TI local.",elogio
Atendimento muito bom. Buscando resolver o problema.,elogio
"Excelente atendimento! O atendente demonstrou total domínio sobre a demanda, sem necessidade consukltar nenhum ""Procedimento""",elogio
Fui orientado sobre uma possível solução. Posteriormente resolvi o problema por conta própria,neutro
Elogio e destaco a prontidão para a solução do problema. Muito obrigado,elogio
O atendimento realizado pelo Rafael foi impecável. A você meu muito obrigado.,elogio
atendimento rápido,elogio
ótimo atendimento!,elogio
Atendente muito rápido e eficiente.,elogio
Parabéns pelo Excelente Atendimento.,elogio
Excelente atendimento,elogio
A atendente é educada e fez o que seria possível mas o sistema não oferece solução para o problema.,reclamação
"A reunião que seria marcada através do novo sistema  teve que ser desmarcada e ser adotado sistema de audioconferência , pois depois de testes internos realizados , a ferramenta não funcionou a contento. Para maiores esclarecimentos, entrar em contato com Adilson da Silva Santiago.",neutro
"O atendente tentou de várias maneiras atualizar a hora do computador, mas não conseguiu. Como já havia demorado bastante, pedi pra ele desistir, caso contrário eu não conseguiria dar conta de minhas demandas matinais.",reclamação
Deleon funcionário muito eficiente.,elogio
"Parabéns pelo atendimento, apresenta ótimo dominio no que faz.",elogio
A instalação não ocorreu mas fui corretamente orientado em como solicitar a instalação de um ramal telefônico via botão TIC.,neutro
"Se a TIC entende que há brechas de segurança que não recomendam o uso de Skype na rede corporativa, penso que a equipe de atendimento deveria ser treinada para oferecer solução alternativa baseada em web como por exemplo o Webex ou similar. Exigir 3 dias úteis de antecedência para a marcação de uma videocon com interlocutor externo não é razoável e nega a flexibilidade que deve ser a tônica para esse tipo de comunicação.",reclamação
Recebi instruções claras para a solução do problema. ,neutro
Atendente muito prestativo e eficiente.,elogio
Primeiro disseram que teriam que levar a máquina e demoraria de 3 a 5 dias. Reclamei e falei que hoje não seria possível. Quando voltei para minha mesa 2 apoiadores da TIC estavam aqui e resolveram o problemas,neutro
Funcionário eficiente.,elogio
"repassei meu atendimento para outro funcionario, que resolveu em menos de 5 minutos",reclamação
Para rodar o vide o sistema pede uma versão mais atualizada do flash player que não está disponivel na Petrobras e não existe previsão de quando isso acontecerá.,neutro
"O rapaz que me atendeu (Eduardo, se não me engano) foi muito solicito e educado, meu chamado foi resolvido.",elogio
Atendimento rápido e preciso.,elogio
O Senhor Vilson nos atende muito rápido! Ótimo Atendimento!!,elogio
Excelente atendimento. Rápido e esclarecedor.,elogio
"De uma ligação foram abertos 4 registros. Mas este registro(INC000022482446) não foi uma solicitação, foi uma sugestão da atendente ao atender a solicitação anterior (INC000022482223).",neutro
ótimo atendimento,elogio
funcionário muito eficiente.,elogio
Consegui eliminar as dúvidas.,neutro
atendimento rapido e eficiente,elogio
Atendente muito paciente e prestativa.,elogio
Atendimento rápido e eficiente.,elogio
"Excelente trabalho de toda equipe, do atendente ou perito do suporte da TIC. Todo trabalho realizado em um intervalo de tempo muito bom e sem gerar transtorno emocional para nós clientes, se esse for o novo sistema de trabalho, meus parabéns, vocês estão muito bom e agradeço a todos, muito obrigado!",elogio
O ASSUNTO SE TRATAVA COM O LOTUS NOTES,neutro
Agradeço o rápido atendimento,elogio
"O profissional atendeu satisfatoriamente a demanda, executando o procedimento de forma rápida e objetiva.",elogio
efetuei modificação sugerida mas não foi resolvido o problema.,reclamação
Atendimento demorado,reclamação
Bastante satisfeito,elogio
resolvido parcialmente. não consegui alterar o telefone externo,reclamação
Eficiente. Grato Sds,elogio
tecnico prestativo e rapido,elogio
Ótimo atendimento.,elogio
parcialmente atendido,neutro
Ótimo atendimento!,elogio
A colabora Renata foi atenciosa e pró-ativa. Além de resolver o meu problema atual resolveu um problema antigo que eu possuía.,elogio
Parabéns pelo comprometimento e profissionalismo da equipe.,elogio
FOI DE GRANDE VALIA O AUXILIO,elogio
Após encerramento do chamado verifiquei que o problema persistiu com outros arquivos,reclamação
A ATENDENTE FOI EXTREMAMENTE PACIENTE NA SOLUÇÃO DO ASSUNTO TRATADO. PARABENS.,elogio
Excelente atendimento da barbara,elogio
"Otimo atendimento, prazo no atendimento supero as expectativas",elogio
Obrigada!,elogio
Sempre sou bem atendida.,elogio
O atedimento demorou muito. ,reclamação
Fui muito bem atendida!,elogio
muito bom atendimento,elogio
rapidez no serviço muito bom,elogio
Nada a declarar.,neutro
"Atendente atencioso e parabens por resolver o problema, pois outros atendentes não tinham resolvido.",elogio
SEMPRE RECEBO TOTAL ATENÇÃO DOS PROFISSIONAIS RESPONSÁVEIS PELO ATENDIMENTO. PARABÉNS!,neutro
"A solicitação em si não foi atendida, mas encaminhada ao apoio local de TIC, identificado como responsável. Entretanto, a nível de chamado, no tangente à atribuição indicada pelo atendimento remoto, esse foi atendido por ter sido encaminhado.",neutro
"ATENDENTE ATENCIOSA, PACIENTE, EDUCADA E COM CONHECIMENTO DE SUA ÁREA",neutro
Excelente atendimento,elogio
O atendimento foi excelente.,elogio
Excelente o atendimento. Resolveu em pouco tempo o que eu levei a manhã toda para resolver com outro atendente.,elogio
"Muito bom o atendimento, Parabéns...",elogio
Muito eficiente.,elogio
EXCELENTE SERVIÇO,elogio
Rapidez e eficiência! ...Gostei! ...,elogio
Consegui resolver o problema de sincronização do notes que vinha tentando a um bom tempo.,neutro
O QUE EU QUERIA NÃO PODE SER FEITO. SOLICITADO RECORRER A ENGENHARIA DE PRODUTOS.,neutro
Atendimento muito bom e de resultado imediato.,elogio
Ótimo atendimento.,elogio
excelente atendimento,elogio
Excelente atendimento! parabéns!,elogio
muito bom!!,elogio
Gostaria de elogiar a presteza no atendimento da técnica da TIC Carla Cristina. ,elogio
muito bom o atendimento e paciência demandada devido a demora do sistema aqui,elogio
Excelente atendimento,elogio
Parabéns. A profissional que me atendeu foi bastante educada e competente.,elogio
MARAVILHOSA!,elogio
"Me foram informados diversos ramais e chaves, sendo que nenhum das pessoas indicadas tinha essa atribuição.",reclamação
"Atendente informou que a solução adotada resolveria, o que ainda não aconteceu. ",reclamação
"ATENDIMENTO RÁPIDO E EFICAZ, ATENDENTE CORDIAL.",elogio
muito satisfeito,elogio
"Bom atendimento da colega apesar, do bloqueio ser repetitivo.",elogio
"excelente atendimento. resolveu o problema de imediato, proporcionando a continuidade do serviço.",elogio
"O atendimento de D. Fernanda foi excelente, porém não foi solucionado e ela ajudou-me a fazer a solicitação diretamente no SIGEM4.",neutro
ótimo atendimento,elogio
Rápido de excelente atendimento ALED (Alexandre),elogio
"Abri um chamado para resolver um problema de um Scanner (TI), porém como a marca do Scanner não é de uma empresa atendida pelo 881, tenho que abrir um chamado no botão compartilhado. Agora, não achei como fazer isso no botão compartilhado e o Scanner vai ficar quebrado.  Será que é muito complicado/dificil da TI encaminhar a quem de direito para resolver o problema, afinal não sou obrigado a saber que marcas são atendidas pelo 881.",reclamação
Excelente atendimento. Rápido e eficaz!,elogio
ótimo atendimento,elogio
Parabens pelo excelente atendimento de qualidade e rapidez.,elogio
Atendimento muito bom,elogio
Fui muito bem atendido,elogio
Após ter ficado + de 1 hora no telefone não foi resolvido o problema.,reclamação
Problema não solucionado. Aplicativo permanece com problemas.,reclamação
Eu conseguir resolver o problema. O atendende foi dedicado e proativo.,reclamação
Aplicativo permanece com problemas. Problema não solucionado.,reclamação
"tENHO ABERTO CHAMADOS QUASE QUE DIARIAMENTE E NÃO FOI APRESENTADA SOLUÇÃO PARA O PROBLEMA. GOSTARIA QUE VERIFICASSEM O MOTIVO PELO QUAL ESTÁ SENDO BLOQUEADO O ACESSO AO SISTEMA GESTOR DO PROGRAMA PAE, MINHA FERRAMENTA DE TRABALHO. ESTOU MUITO INSATISFEITA.",reclamação
Excelente atendimento do Bruno,elogio
ok.,neutro
rapido e eficiente. perfeito!,elogio
"Precisava enviar um e-mail para fiscalização da DRT/SP e não há solução, tive de dividir o e-mail com a incerteza do recebimento de toda a documentação exigida pela fiscalização. Portanto, não houve solução, apenas um ""jeitinho"" que tive de criar.",neutro
"Sempre que chamo o técnico , sou atendida rapidamente.Excelente trabalho.",elogio
Excelente atendimento do Bruno,elogio
Como sempre eficientes,elogio
100%,elogio
Resposta excelente em tempo hábil,elogio
O serviço solicitado foi excelente o atendimento e com muita rapidez ,elogio
muito satisfeito,elogio
Superou as expectativas,elogio
Excelente atendimento.,elogio
Excelente trabalho realizado pelo técnico Luis Carlos Armada.,elogio
ATENDENTE LUIZ MUITO EFICIENTE.,elogio
Demora para resolução do problema,reclamação
O Piterson Walace que atendeu o chamado foi muito eficiente resolvendo o chamado rapidamente e com qualidade técnica.,elogio
Fui prontamente atendida pelo analista Diogo.,elogio
Excelente atendimento!,elogio
Muito bom profissional,elogio
atendimento muito bom !,elogio
São profissionais assim que fazem a diferença.,elogio
Exelente serviço.,elogio
Foi excelente este atendimento. Com educação e conhecimento fui atendido.,elogio
Obrigado pela Agilidade e Solução Imediata...,elogio
Excelente atendimento,elogio
Perfeito atendimento,elogio
Acho que nunca tive um atendimento da TIC de tão alto nível. Retorno imediato.,elogio
Atendimento superou as expectativas,elogio
"Obrigado, Carlos ",elogio
"Infelizmente, os arquivos não foram recuperados.",reclamação
Excelente atendimento,elogio
ótimo atendimento,elogio
O problema com o servidor da Petrobras não tem prazo para ser resolvido. ,neutro
Nota dez para o atendimento.,elogio
Muito bom o atendimento,elogio
O Thiago foi muito atencioso e eficaz.,elogio
Excelente,elogio
"Fui atendido com muita presteza, cordialidade e eficácia.",elogio
O trabalho foi executado com sucesso.,elogio
Pediu para ligar para o ramal da pessoa responsável em vez de dar encaminhamento direto para resolver o problema,reclamação
Fui prontamente atendido. Estou super satisfeito,elogio
OBRIGADO !!,elogio
Excelente atendimento,elogio
Obrigado,elogio
"pela paciência, obrigada",elogio
Atendimento eficiente.,elogio
O cliente teve alguns contratempos para contatar a equipe durante a implantação e configuração do sistema.,neutro
"Pela terceira vez, os cartuchos não são trocados e após impressão de 5 folhas começa a falhar.",reclamação
Pedido só vai atendido após várias cobranças e com atraso.,reclamação
Prazo de atendimento insatisfatório. Muito longo.,reclamação
Prazo de atendimento insatisfatório. Muito longo.,reclamação
"Apesar de ter aberto o chamado como crítico pela necessidade de emissão ainda no mês de fevereiro, o chamado só foi concluído quase 20 dias depois. A análise inserida ao final do chamado também deixou a desejar, pois através de uma análise simplista atribuiu ao tributário um erro que não era dele",reclamação
Prazo de atendimento insatisfatório. Muito longo.,reclamação
Quase um mês para resolver o registro a HP está se superando no atendimento . Atendimento moroso d+ e quanse sempre sem solução ,reclamação
Atendimento não solucionou o problema de acesso ao Smart Plant Foundation,neutro
"Os mapeamentos solicitados não foram realizados para o usuário, tendo sido esta TIC alertada sobre o problema, solicitada a correção e não encerramento do incidente.",reclamação
A solução foi a de que eu fizesse uma nova solicitação de privilégio de administrador.,reclamação
Excelente profissional,elogio
"Gostaria de deixar registrado meu agradecimento a equipe do apoio local da TIC, André e Rony, que foram incansáveis para a resolução do problema apresentado no micro. Parabéns pela eficiência e dedicação.",elogio
"Atendimento sepre primoroso do Eraldo, sem contar na educação, eficiência, excelente comunicação, rapidez. MUITO obrigada.",elogio
"o técnico até que era bonzinho e sabia do problema, mas disse que eu tinha que falar com a operadora e foi embora. Eu esperava que ele me auxiliasse mais, interagindo com a operadora também.",reclamação
EXCELENTE,elogio
"Solicitei acesso a Rede Windows, Correio Lotus Notes e Internet Padrão mas os empregados não estão com acesso.",reclamação
Facilidade nao configurada.,reclamação
bom atendimento,elogio
não é de competencia da TIC,neutro
"excelência em atendimento, equipe sempre disposta a ajudar",elogio
"Tratava-se de problema na instalação do Office, não do Progride. Após solução do problema, o Progride 6.5 foi reinstalado e não apresentou a falha na execução.",neutro
"Atendente Carolina, foi muito prática, eficiênte, gentill e de uma paciência sem igual.... Gostaria de todos os atendentes fossem asim. Muito obrigada",elogio
"Ao invés de adicionarem os 2 ramais no grupo do ramal 751-9751, os operadores criaram um novo grupo com 4 telefones..... com ordem de quem nós não sabemos.... , por isto da nota baixa.... além de não resolverem o problema, criaram outro problema.",reclamação
"Já é a segunda vez que abro o chamado, está sendo apropriado e não está sendo resolvido.",reclamação
MUITO BOM,elogio
O micro continua com o mesmo problema e a solução na qual foi relatada que era problema de tomada não procede; pois há outros micros aqui nesta mesma situação operando normalmente.,reclamação
Excelente !,elogio
Máquina substituída por outra já utilizada por outros usuários. A informação retornada foi a de substituição do HD e não da máquina. Demora na solução do problema.,reclamação
"O atendimento demorou mais do que eu esperava para um problema como esses, que me impede de utilizar o computador e trabalhar.    Foi o terceiro ou quarto chamado que abri com a TIC em menos de duas semanas por problemas no meu computador. Em todas as pesquisas anteriores, considerei que o problema havia sido resolvido mas alguns dias depois eu voltei a percebê-lo. Ou seja, é possível que nós respondamos que o problema foi resolvido e após algum tempo descobrimos que não foi.",neutro
